GeneSymbol,logFC,t,P.Value,adj.P.Val
Snx10,0.9720807525286004,8.570662618179183,5.831567581111083e-14,2.386764232886553e-12
Lox,-1.3541275456555848,-8.22183509050429,6.114016953388473e-14,2.485646946729482e-12
Rgs5,0.6967654700847872,8.349047953104101,6.226702889416581e-14,2.51098927031163e-12
Nt5e,-0.5447064254921958,-8.12199338659814,6.288272052875891e-14,2.5222208628170564e-12
N4bp2,-0.5206864531791231,-8.461316652792204,8.32247210960071e-14,3.276644874519374e-12
Abcc3,1.1652503170871853,8.410463988716163,8.528574272039084e-14,3.340209415810909e-12
Tmsb10,0.7542841572954444,8.379017571802457,8.576573528810322e-14,3.3502380304055156e-12
F12,-0.5487556717492978,-8.568949638071139,8.844855105920693e-14,3.44603846978332e-12
Inhbe,-0.6516816254889424,-8.353404860742295,9.322147602786145e-14,3.622192998699425e-12
Setd4,0.6162323944993426,8.345831758916802,9.644888356545358e-14,3.7094389383618275e-12
Slc20a1,0.9023066829778097,8.448365879457965,1.00074548101665e-13,3.827655145990151e-12
Rab30,1.144237952412194,8.456555679994011,1.0279740579689646e-13,3.8935493370313114e-12
Cbr1,0.6728128481115512,8.40493368065281,1.193882499709775e-13,4.421206950039095e-12
Pabpc4-ps1,0.8765704237816498,8.108877282328246,1.3657100612189638e-13,4.971383996568593e-12
Itih1,-0.5040414226116141,-8.418143124557817,1.4529307641976284e-13,5.250554870328676e-12
Cidea,0.9657330795580821,8.12420292683855,1.5560984224127867e-13,5.543044880408976e-12
Arl6,0.6423931033192876,8.236384723955885,1.7758017194349161e-13,6.265983378411741e-12
Bax,0.5168877131905054,8.201985256708015,1.885264969022861e-13,6.620997465152823e-12
Oaf,-0.6697632688371957,-8.265261908920836,1.9576032303058568e-13,6.858946587495533e-12
Abca8a,-0.6401838342700756,-8.24796326255055,2.014814224858372e-13,7.01014781816421e-12
Rhbdd2,0.7653693254875966,8.249045854724312,2.1582493176922358e-13,7.388917172080901e-12
Hsdl2,0.5653984516084911,8.06376067167224,2.1562660221699224e-13,7.388917172080901e-12
Hgd,-0.5455820418408699,-8.197323332868745,2.4613659665071637e-13,8.331333987537031e-12
Mmd2,-1.0323076130363527,-7.878808085553361,2.693086606946673e-13,9.033916754827168e-12
Osmr,1.1271486735174019,8.019968490849987,2.841431789256409e-13,9.44681355534781e-12
Tubb5,0.5443413712084908,7.961199265288714,2.8934192482249116e-13,9.59832491633989e-12
Enpp3,-0.5387831920230521,-8.240827930778513,3.0465411315784984e-13,1.003949380386474e-11
Slc16a10,-0.5115852762726876,-7.849373310060902,3.531059938469826e-13,1.134374779737268e-11
Fasn,-0.8010049488804079,-7.890999843482369,3.592575754837243e-13,1.1509320314372589e-11
Rnf125,-0.5726682136515926,-7.936959759778783,3.6037248093022475e-13,1.1520368989737376e-11
Slc22a8,-1.3210950120239628,-8.2301325787864,3.6961112687127846e-13,1.178349229487235e-11
Egf,-0.5635314545102554,-8.12636943800507,4.0776012262265863e-13,1.273590646045427e-11
Trim2,-0.5374246501367672,-8.110529162913819,4.3956653106507675e-13,1.367225544961458e-11
Stard13,-0.5129104297546592,-7.83150630693983,4.414328827454831e-13,1.3701820246380027e-11
Obp3,-2.739949341470769,-8.036371744895218,4.5008599847285063e-13,1.3912678973455203e-11
Adhfe1,-0.7343943112186491,-8.287858612946604,4.689664837969576e-13,1.4406997051511876e-11
Bex3,0.5510034281284257,8.128757242256086,5.324721782421193e-13,1.606112148927489e-11
Srd5a3,0.5386866973092559,8.180693134326452,5.390541355676087e-13,1.6226939481342042e-11
Ddit3,1.1194201927139815,8.1892610751763,5.500272538397659e-13,1.6524011535535615e-11
Tyms,0.6019200054212952,7.980062302315739,5.519415539595064e-13,1.654829176109855e-11
Agt,-0.565755677737064,-8.208993760677737,5.618341354545304e-13,1.681120100107046e-11
Mcm6,0.7316566592234359,7.835747996054139,5.738671166710584e-13,1.7102840503019335e-11
Enpep,-0.6543208111853165,-8.066467899785735,5.994654436582043e-13,1.7724510874645048e-11
Ebna1bp2,0.6554173473929978,8.050451297460235,6.1647232431884e-13,1.8191405215254765e-11
Npas2,-0.7918996119678985,-8.07547981504662,6.696124965713652e-13,1.9566547971101942e-11
Glrx3,0.5640250291203923,8.103467579099913,7.112014727931299e-13,2.054109118621239e-11
Kyat3,-0.555940604199014,-8.115576266562247,7.355254119608655e-13,2.1202689187565527e-11
Mybl1,1.322169671080168,7.876322290650603,8.173636193994442e-13,2.3231176102373886e-11
Ppp2r2d,0.5416368334547004,7.953457190999576,8.274840712014983e-13,2.3446949222056093e-11
Tma16,0.6850235724571174,8.090687674198719,8.604406227419977e-13,2.424303607691719e-11
Slc43a1,-0.568165901742387,-7.817556481530877,9.511473555998832e-13,2.635206590209232e-11
Papss1,0.5283470298829593,7.94658458326654,9.951982766912474e-13,2.7521555300513403e-11
Sytl2,-0.5656269056900793,-7.768903873678778,1.1715373297279602e-12,3.169506327316458e-11
Bhmt,-0.6337226000371441,-7.954740545378706,1.1707992345075418e-12,3.169506327316458e-11
Syncrip-ps2,0.9045545275076305,7.90333976545077,1.1792426494193516e-12,3.1845937324842815e-11
Cmss1,0.5553819364140189,7.746558466451229,1.2420373126729186e-12,3.336107762100455e-11
Tmem184c,1.1200659917137452,7.8584124034876615,1.2456780456921004e-12,3.3398905450895186e-11
Loxl4,-0.6457886144623508,-7.622309861211081,1.2802339552338807e-12,3.4141854196531356e-11
Egfr,-0.5213612621016832,-7.7711171107203505,1.3814818865281193e-12,3.644381073849507e-11
Nop56,0.5451944757606126,8.026487514194699,1.3842720155318672e-12,3.644381073849507e-11
Rfc4,0.5642390026112798,7.646289844224398,1.397225934534972e-12,3.667350387118898e-11
Inhba,-0.7348854784856149,-7.973715108028412,1.505200709881163e-12,3.916401360092536e-11
Abat,-0.7120976968186898,-8.071093538688894,1.5649083436763002e-12,4.057641894235897e-11
Clec7a,0.5060273236974586,7.822248400701924,1.8098067860227832e-12,4.644342937510611e-11
Smoc1,-0.6179279466761853,-7.798386974930488,1.8867093590713563e-12,4.8005201906575786e-11
Nipal2,0.5297005240495842,7.546025124049069,1.9260145605816692e-12,4.8839159052309075e-11
Hilpda,0.5936066705257428,7.717948720927969,1.964329602066882e-12,4.9475311744987586e-11
Pak1ip1,0.6304110276373978,7.84154976106851,2.024019082610515e-12,5.080763338076496e-11
Prmt7,0.5142209330348972,7.865025480583106,2.052799191503478e-12,5.1357740307832e-11
Gnmt,-0.9471656322490958,-7.965053999681395,2.0849186581585413e-12,5.1972935733209674e-11
Odc1,0.625038014987128,7.853790868672191,2.1092405300940172e-12,5.233225136108888e-11
Cxcl12,-0.5904419304434967,-7.84132187694774,2.285808241581641e-12,5.60622575447589e-11
Inhbc,-0.8622463876309929,-7.93035235740906,2.3258883559768635e-12,5.682352513769175e-11
Srebf1,-0.7368845775874995,-7.562443400513009,2.4845905740502908e-12,6.034409022462078e-11
Mreg,-0.5984033848498971,-7.858391378930871,2.7896269524721306e-12,6.699134644612446e-11
Apoa4,-0.9907663103137239,-7.752141544263098,2.911516613544187e-12,6.92515104216766e-11
Ptprd,-0.6174099632494752,-7.931489264821448,2.9255019770789387e-12,6.947370647472698e-11
Krt18,0.5666983645082784,7.784470994228493,3.256779775051518e-12,7.608801846995433e-11
Igf2r,0.5110663681290655,7.754232434603161,3.259970579455967e-12,7.608801846995433e-11
Thnsl1,0.778184789150016,7.8157074685932075,3.362023973778217e-12,7.7862601658972e-11
Fxyd1,-0.6537601975120513,-7.7781880482751875,3.448605509698199e-12,7.962127628178203e-11
Tsr1,0.529999877214876,7.657742433894307,3.4942633272566275e-12,8.055111500629646e-11
Lbp,0.6379390628245645,7.564892124757634,3.842120763432931e-12,8.802751721549783e-11
Slco2a1,-0.675476236345558,-7.7160540533522814,3.968784863653691e-12,9.051370479439462e-11
Gls2,-0.6363417044624384,-7.781447580798272,4.177602391679324e-12,9.427014989730674e-11
Pc,-0.7851616371596197,-7.756708474868608,4.37301590779037e-12,9.823527176644404e-11
Igf2bp3,-0.6702062805098832,-7.4095329928024025,4.39050811518011e-12,9.848034769296795e-11
Clcn4,-0.5266601668006041,-7.622085622596975,4.561593117338844e-12,1.0170789065351185e-10
Ctps1,0.6899863929958716,7.648416399674484,6.166035063488614e-12,1.3369572548529443e-10
Pxmp2,-0.557909866547849,-7.766481123167818,6.555676888628477e-12,1.4173335539128705e-10
Pter,0.9424856777499118,7.6695076576752985,6.9131474150029354e-12,1.4881668845447328e-10
Gpx2,1.3459074668336521,7.5349734340692365,7.479753591205842e-12,1.5964284452514964e-10
Slc25a33,0.53236483529591,7.549351835868004,7.69954739744685e-12,1.6362631905284418e-10
Nop58,0.5881231953491541,7.448269324754924,8.505826898094604e-12,1.7923334679210334e-10
Spp1,0.8275422252874307,7.642585905538296,8.735314512622896e-12,1.8381018343649948e-10
Cbs,-0.6476343114612657,-7.659646432640251,8.80164988720976e-12,1.8468651327145194e-10
Cfhr4,-0.5617798517901651,-7.617318735572776,8.936263099549052e-12,1.8724850452710556e-10
Aimp2,0.5284182084204705,7.544144751817997,9.047678801769683e-12,1.8878985014403937e-10
Dynlt1,0.6046690765193139,7.424891089706946,9.201089980060123e-12,1.9172354762072357e-10
Acsl1,-0.518380742464279,-7.691950201788003,9.528516949288575e-12,1.9717308724523704e-10
Ces1d,-1.2624156569733138,-7.659560343716938,9.664799234986578e-12,1.9944146393742648e-10
Bphl,-0.50176523627783,-7.534216240114828,1.0109389423449145e-11,2.0804205662203942e-10
Prmt5,0.5146221570159861,7.502997902950489,1.0282819136229698e-11,2.097447284022419e-10
Pvr,0.9109599588560151,7.668808411794501,1.0709319211442652e-11,2.1680937039566105e-10
Abcc6,-0.7641546613810579,-7.56772702941671,1.0944399233416035e-11,2.2067271823603408e-10
Lcn2,1.6434258358351697,7.421757713380304,1.1195697506696725e-11,2.2513283655603454e-10
Crybg2,-0.6531232368171258,-7.307558458339019,1.1539169179049408e-11,2.307988102777516e-10
Cgref1,0.7211534371695674,7.567684465337977,1.2190293038423114e-11,2.422031529187891e-10
Abcb1a,0.8614152495140166,7.434836295814232,1.264182670071522e-11,2.491888923180506e-10
Olr59,-0.8904651796478689,-7.396180511272818,1.3023513102152939e-11,2.5636675025002476e-10
Siral2,0.6095157975374086,7.4464404911762445,1.4160957792895415e-11,2.7622175950392214e-10
Ddhd1,-0.5204809712240897,-7.190806849941946,1.5011977236197132e-11,2.9130245321756846e-10
Trib3,1.360390271300024,7.445031416611241,2.0100697670596394e-11,3.754388737200907e-10
Fabp12,-0.5789013642092629,-7.319464622150204,2.029496227298874e-11,3.781232012032186e-10
Hes6,-0.5023156309918786,-7.314288621349356,2.044182129366639e-11,3.8038568205788914e-10
Gpt,-0.7098357120431196,-7.247151008386625,2.087843550865646e-11,3.8754624521713315e-10
Cyp4v3,-0.504671332026942,-7.287934664512918,2.175980572520305e-11,4.01911670931806e-10
Nrep,-1.0841214448131762,-7.48756814230978,2.1975308702727907e-11,4.053916072768338e-10
Apon,-1.0348304189629047,-7.44066968208563,2.7107071593942492e-11,4.897933552137362e-10
RT1-CE5,0.8547039322718346,7.312995580945874,2.767131866369275e-11,4.981836324037392e-10
Ca5a,-0.7364925364175985,-7.414660055877632,2.807947684577475e-11,5.043181909839569e-10
Hba-a3,-0.6101163744776414,-7.109762842506201,2.812684707948997e-11,5.043705071716079e-10
Mtarc1,-0.5982379011461063,-7.385935220025328,2.8533513371738033e-11,5.106338439647999e-10
Cyp4f4,-0.8382365757211669,-7.393036753541481,2.9057751873703462e-11,5.187744937738395e-10
Sdad1,0.5387898607414661,7.376094716062178,3.245575872412665e-11,5.739605275078709e-10
Slc13a4,-0.8898019890277755,-7.335193684216927,3.2598952613465465e-11,5.751331722288406e-10
Gck,-0.9220909144007132,-7.177509986499456,3.2824686219898954e-11,5.777530947481274e-10
Omd,-0.7963822099991038,-7.233437385949319,3.294109819310615e-11,5.791207638860884e-10
Kynu,-0.8842173012881069,-7.441348276929892,3.390687252518269e-11,5.951340366219687e-10
Rhoc,0.641744860168032,7.392940780243774,3.589322390610856e-11,6.244168870456863e-10
Cyp1a1,1.2343686182358606,7.387888232050817,3.729724496441414e-11,6.450914241764162e-10
Hsd11b1,-0.5290735208439035,-7.313356964386075,4.073824947408489e-11,6.965542290077533e-10
Pycr1,1.1474383002802169,7.0917343092376415,4.1415913317351626e-11,7.073327387453169e-10
Aadac,-0.7648475679467683,-7.403529210971081,4.148071802391654e-11,7.076317244650118e-10
Lipc,-0.6232183195067211,-7.396666580343672,4.536567509533632e-11,7.634599157495238e-10
Fabp2,0.6393223769273346,7.093191062219302,4.851093629722153e-11,8.082094854596118e-10
Gar1,0.5953774578187074,7.152756225199865,4.984816921846543e-11,8.258897670846748e-10
Cd44,0.8106479077655253,7.29223643436597,5.28247287495088e-11,8.703863070720278e-10
Ppp1r3c,-0.5412463078826839,-7.001402431717376,5.596067485309093e-11,9.124130256993405e-10
Hykk,-0.5891414205309253,-7.0236605964982095,5.692769144948263e-11,9.25755643234467e-10
Riok3,0.503760727227947,7.26311583551994,5.827727007817731e-11,9.43599824285293e-10
Tmed3,0.8416335409021913,7.0043548219550775,5.977179010325033e-11,9.657081552210888e-10
Dusp16,0.6785532110477988,7.291709001458275,6.078679121197217e-11,9.789356117570675e-10
Tmbim1,0.54679691208886,7.215808274427785,6.826816523623728e-11,1.0842463058379468e-09
Ssx2ip,-0.5096369616001057,-7.047313328137977,6.823843160824436e-11,1.0842463058379468e-09
Dennd2d,1.0454442833712054,7.275884017811068,6.8699379926643e-11,1.0887832871636715e-09
Serpina4,-0.9292359125267602,-7.295489251240182,7.061695203312446e-11,1.115982418489446e-09
Lrtm2,-0.6240079515344581,-6.915117795468202,7.238586483790687e-11,1.1399630777262363e-09
